system   D            wsystem.c:583  maybe_parent_dir                 [   0.00021] Also searching F:\University\C++\Level5\Space-Invaders\
display  D   display_settings.c:191  debug_display_settings           [   0.18987] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18987] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18987] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18988] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18988] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18988] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18989] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18989] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18990] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18990] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.18990] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18991] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18991] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18992] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18992] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18992] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18993] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18993] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.18993] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18994] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.18994] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18994] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18995] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.18995] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.18996] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18996] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.18996] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.18997] Score is : 721
